corpus,commit,specification,assay_id,modality,status,generated_efgdl,compiles,compile_error,lane_count,capability_blockers,diagnostic_codes
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/scCRISPRa/spec.yaml","","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/sci_rna_seq/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/sci_rna_seq3/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/scifi_rna_seq/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/seq_well/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/seq_well_s3/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/share_seq/spec.yaml","SHARE-Seq","atac",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/share_seq/spec.yaml","SHARE-Seq","rna",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/smart_seq2/spec.yaml","","RNA",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/smart_seq3/spec.yaml","","RNA_end",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/smart_seq3/spec.yaml","","RNA_internal",NeedsUserPolicy,false,false,"",0,"","modality_reads_missing"
"igvf-seqspec","7f7c7d6264a39910c69902e056621b1d22895636","specs/sn_m3c_seq/spec.yaml","sn-m3C-seq","hic",BlockedSourceInvalid,false,false,"",2,"","fixed_sequence_length_mismatch"
